emp_num,last_name,first_name,middle_name,addr1,city,state,postal_code,home_phone,dob,id_type,ssn,job_title,emp_status,rehire_flag
18,Sadler,Robert,D,4940 White Avenue,Aransas Pass,TX,78336,361-758-5781,2/14/1976,SSN,460-15-1871,Sales person,FT,
19,Mccarver,John,M,3210 Butternut Lane,Carbondale,IL,62901,618-549-9232,03/12/1958,SSN,477-33-1025,Sales person,FT,
20,French,Shirley,F,4597 Deer Haven Drive,Abbeville,SC,29620,864-302-9992,12/11/1976,SSN,248-77-7913,Sales person,FT,
JP-1,Peeters,Janice,,,,,,,,,123-45-6789,Sales person,FT,
21,Shows,Gisela,R,2791 Elk Street,Irvine,CA,92714,949-724-2475,6/18/1955,SSN,550-04-5436,Sales person,FT,
22,West,Felicia,D,1651 Hardesty Street,Albany,NY,12207,518-471-9888,2/25/1970,SSN,102-68-2636,Sales person,FT,
23,Thornton,Rafael,J,2151 Melville Street,Jackson,TN,38301,731-325-3274,11/12/1940,SSN,410-33-3575,Sales person,FT,
24,Owen,Mitchel,C,4491 Finwood Road,Long Branch,NJ,7740,732-483-6139,5/25/1960,SSN,149-10-2099,Sales person,FT,
25,Galindo,Peggy,M,2248 Hinkle Deegan Lake Road,Binghamton,NY,13901,607-223-1314,5/15/1948,SSN,057-22-1152,Sales person,FT,
26,Walker,Ryan,M,550 Fittro Street,Winthrop,AR,71866,870-381-5401,6/16/1967,SSN,429-36-0252,Sales person,FT,
27,Neal,Lisa,E,2928 Modoc Alley,Meridian,ID,83642,302-9992,9/13/1966,SSN,519-65-1042,Sales person,FT,
28,Gravelle,Scott,C,4295 Kenwood Place,Fort Lauderdale,FL,33306,954-563-4561,12/11/1978,SSN,267-34-2087,Sales person,FT,
29,Genovese,Joseph,M,303 Adams Drive,Houston,TX,77060,979-318-7197,7/26/1940,SSN,455-08-8964,Sales person,FT,
30,Strickland,Hubert,T,3094 Foley Street,Ft Lauderdale,FL,33311,954-651-9219,8/15/1966,SSN,766-48-5761,Sales person,FT,
31,Leblanc,Darin,A,1346 Emerson Road,Calhoun,LA,71225,318-644-0836,08/10/1977,SSN,662-12-1743,Sales person,FT,
32,Henderson,Benita,J,3169 Riverwood Drive,Redding,CA,96001,530-354-8708,4/27/1966,SSN,549-68-6648,Sales person,FT,
33,Farrell,Jennifer,C,448 Airplane Avenue,Wallingford,CT,6492,860-881-7944,11/14/1942,SSN,041-46-2515,Sales person,FT,
34,Escobedo,Nicole,J,3612 Nancy Street,Mebane,NC,27302,919-568-9421,03/12/1944,SSN,686-09-6494,Sales person,FT,
35,Kendrick,Lawrence,H,2897 Tuna Street,Bloomfield Township,MI,48302,810-820-3648,9/25/1971,SSN,383-18-5252,Sales person,FT,
36,Cullum,Karen,C,1705 Oak Drive,Ticonderoga,NY,12883,518-585-6813,06/05/1971,SSN,123-14-9271,Sales person,FT,
37,Garcia,Michael,V,4094 Hilltop Street,Wilbraham,MA,1095,413-596-8997,11/15/1949,SSN,024-56-2346,Sales person,FT,
38,Fairweather,Jennifer,H,1247 Lucy Lane,Evansville,IN,47714,812-469-2613,08/04/1985,SSN,309-25-6689,Sales person,FT,
39,Parks,Judith,M,3740 Sycamore Fork Road,Pompano Beach,FL,33064,954-214-3882,05/06/1974,SSN,592-09-3571,Sales person,FT,
40,Lochner,Belinda,W,913 Cliffside Drive,Syracuse,NY,13224,607-345-1594,7/17/1952,SSN,091-60-3273,Sales person,FT,
41,Taylor,Ramona,D,1439 Wolf Pen Road,Oakland,CA,94612,650-407-2342,11/11/1950,SSN,557-09-5795,Sales person,FT,
42,Pitts,Dorothy,E,3229 C Street,Cambridge,MA,2142,508-413-9192,12/31/1941,SSN,021-84-1943,Sales person,FT,
43,Luther,Joan,W,839 Marion Drive,Tampa,FL,33614,813-312-5142,9/29/1942,SSN,265-83-8316,Sales person,FT,
44,Munoz,Robert,J,4596 Grant View Drive,Milwaukee,WI,53204,414-383-4188,3/23/1963,SSN,390-19-5484,Sales person,FT,
45,Henley,Edgar,C,662 Mulberry Lane,Miami,FL,33131,561-828-1204,11/09/1984,SSN,593-55-9591,Sales person,FT,
46,Miller,David,D,4891 Chipmunk Lane,Portland,ME,4101,207-222-9000,5/20/1955,SSN,004-40-9187,Sales person,FT,
47,Rumley,Martin,D,963 Laurel Lee,Maplewood,MN,55119,651-736-1419,7/25/1945,SSN,470-34-5253,Sales person,FT,
48,Coletti,Margaret,E,854 Benson Street,Appleton,WI,54911,715-254-3800,4/15/1982,SSN,394-72-7318,Sales person,FT,
49,Harrison,Jessica,G,4157 Metz Lane,West Roxbury,MA,2132,857-366-9771,1/18/1961,SSN,031-26-4386,Sales person,FT,
50,Willis,John,V,3787 Isaacs Creek Road,Windsor,IL,61957,217-459-8603,5/17/1948,SSN,336-80-1587,Sales person,FT,
